ORGANIZATION,DISCIPLINE,EXP_BUDGET,ANNUAL_AUD,YOUTH,ADDRESS,ADDRESS_2,CITY,ZIP,COUNTY,STATE
"Northfield Youth Choirs, Inc.",Performing Arts,"$124,527","2,500","1,000",205 Water St S,PO Box 460,Northfield,55057,Rice,MN
Arts and Heritage Center Montgomery,Arts Multipurpose,"$8,000","3,400",500,206 1st St S,,Montgomery,56069,Le Sueur,MN
Montgomery Area Community ClubArts Project,Other,"$2,500","10,000","3,000",206 1st St S,,Montgomery,56069,Le Sueur,MN
Lake of the Woods County Historical Society,History,"$119,192",364,244,"206 8th Avenue SE, Suite 150",,Baudette,56623,Lake of the Woods,MN
Cannon Falls Area Historical Society,History,"$13,067","60,000","10,000",206 Mill St W,,Cannon Falls,55009,Goodhue,MN
Lanesboro Community Theatre,Performing Arts,"$3,000",281,45,206 Parkway Ave N ,PO Box 152,Lanesboro,55949,Fillmore,MN
People IncorporatedArts Project,Other,"$108,550","1,545",45,2060 Centre Pointe Blvd,,Mendota Heights,55120-4039,Dakota,MN
Walker Public LibraryArts Project,Other,$425,80,60,207 4th St S,PO Box 550,Walker,56484,Cass,MN
City of Winona Community ServicesArts Project,Other,"$10,000",525,350,207 Lafayette St,PO Box 992,Winona,55987,Winona,MN
City of WinonaHistory Project,History,"$2,000",0,,207 Lafayette Street,PO Box 378,Winona,55987,Winona,MN
North Country Fiddle and Dance,Performing Arts,"$4,800",240,30,20739 400th Ave SE,,East Grand Forks,56721,Polk,MN
Pelican Rapids Multicultural Committee,Other,"$1,700",130,50,20740 410th St,,Pelican Rapids,56572,Otter Tail,MN
South Central Service CooperativeArts Project,Other,"$41,870","1,200",950,2075 Lookout Dr,,North Mankato,56003,Nicollet,MN
Faribault Community TV and Multimedia Center/Community Television,Media & Communications,"$72,714",83,20,208 1st Avenue NW,P. O. Box 363,Faribault,55021,Rice,MN
Hormel Historic Home,History,"$561,071",0,,208 4th Ave NW,,Austin,55912,Mower,MN
Commonweal Theatre Company,Performing Arts,"$966,142","20,635","1,168",208 Parkway Avenue North,PO Box 15,Lanesboro,55949,Fillmore,MN
Gammelgarden Museum  ,History,"$75,000",0,0,20880 Olinda Trail North,,Scandia,55073,Washington,MN
West Side Community OrganizationArts Project,Other,"$6,500",700,200,209 Page St W,,Saint Paul,55107,Ramsey,MN
"Teatro del Pueblo, Inc.",Performing Arts,"$126,565",425,200,209 Page St W,,Saint Paul,55107-3457,Ramsey,MN
Ely Folk School,Arts Multipurpose,"$55,815",520,20,209 Sheridan St E,,Ely,55731,St. Louis,MN
Platform,Visual Arts & Architecture,"$16,466",600,100,20945 Radisson Rd,,Excelsior,55331,Hennepin,MN
Lakeville Area Arts Center,Visual Arts & Architecture,"$538,557","48,000","20,000",20965 Holyoke Ave,,Lakeville,55044,Dakota,MN
Sweet Adelines Zumbro Valley Chapter,Performing Arts,"$12,843","2,200",600,2099 Silver Creek Ct NE,,Rochester,55906,Olmsted,MN
Mantorville Economic Development Authority,Arts Multipurpose,"$11,662","1,650",150,21 5th St E,,Mantorville,55955,Dodge,MN
Prøve Collective,Arts Multipurpose,"$61,220","3,200",200,21 Lake Ave N,,Duluth,55802,St. Louis,MN
DalekoArts,Performing Arts,"$115,530","4,100",100,210 1st Ave SE,,New Prague,56071,Le Sueur,MN
Fargo Moorhead Choral Artists,Performing Arts,"$55,120","4,475",105,210 7th St S ,,Moorhead,56560,Clay,MN
"Fargo Moorhead Chamber Chorale, Inc.",Performing Arts,"$34,166","1,350",150,210 7th Street South Suite 100,PO Box 968,Moorhead,56561,Clay,MN
Grand Center for Arts and Culture,Arts Multipurpose,"$466,710","4,060",60,210 Minnesota St N,,New Ulm,56073,Brown,MN
Northwoods Friends of the Arts,Arts Multipurpose,"$76,580",260,85,210 River St S,,Cook,55723,St. Louis,MN
Northfield Public LibraryArts Project,Other,"$12,000",900,300,210 Washington St,,Northfield,55057,Rice,MN
"Ashland Productions, Inc.",Performing Arts,"$611,215","19,250","5,700",2100 White Bear Ave,,Maplewood,55109,Ramsey,MN
District 1 Community CouncilArts Project,Other,"$5,000",75,50,2105 1/2 Old Hudson Rd,,Saint Paul,55119,Ramsey,MN
Minnesota Valley Sweet Adelines,Performing Arts,"$30,151",670,70,2105 Roe Crest Ct,,North Mankato,56003,Nicollet,MN
Hibbing Public Access Television,Media & Communications,"$83,635",0,0,211 E. Howard Street ,,Hibbing,55746,St. Louis,MN
Laura Baker Services Association,Performing Arts,"$5,906",225,30,211 Oak St,,Northfield,55057,Rice,MN
Fortunes Fool Theatre,Performing Arts,"$20,600",253,3,2113 22nd Ave S,,Minneapolis,55404,Hennepin,MN
Southeast Minnesota Center for Independent Living,Other,"$13,630",350,50,2115 2nd St SW,,Rochester,55902,Olmsted,MN
Shorewood Senior Campus,Other,"$13,450",630,30,2115 Second St SW,,Rochester,55902,Olmsted,MN
University of Saint ThomasArts Project,Other,"$34,197","1,080",360,2115 Summit Ave,,Saint Paul,55105,Ramsey,MN
Theatre Pro Rata,Performing Arts,"$48,786",300,0,2116 37th St E,,Minneapolis,55407,Hennepin,MN
Minneapolis Park and Recreation,Other,"$58,550","8,000","2,500",2117 W River Rd N,,Minneapolis,55411,Hennepin,MN
Friends of the Mill District,Performing Arts,"$35,161",251,25,212 10th Ave S Apt 102,,Minneapolis,55415,Hennepin,MN
City of Park RapidsArts Project,History,"$8,860","10,500",500,212 2nd St W,,Park Rapids,56470,Hubbard,MN
Preston Historical Society,History,"$19,466",0,,212 Saint Anthony St N,PO Box 138 ,Preston,55965,Fillmore,MN
Irish Music and Dance Association,Performing Arts,"$40,250","8,000","4,000",2120 Douglynn Ln,,Saint Paul,55119,Ramsey,MN
Willmar Area Symphonic Orchestra,Performing Arts,"$22,128","1,650","1,200",2120 Hwy 71 N,,Willmar,56201,Kandiyohi,MN
Calvary Community Theater,Performing Arts,"$10,350","1,520",20,2120 Lexington Ave,,Roseville,55113,Ramsey,MN
TU Dance,Performing Arts,"$921,114","9,250","5,500",2121 University Avenue West,PO Box 40405,Saint Paul,55104,Ramsey,MN
KMOJ FM CCDI,Media & Communications,"$1,051,449","16,010",10,2123 West Broadway ,,Minneapolis,55411,Hennepin,MN
General Federated Womens Club of DelanoArts Project,Other,"$5,850",655,133,213 4th St N,,Delano,55328,Wright,MN
Brandenburg Prairie Fndn/Brandenburg Gallery and Herreid War Museum,Arts Multipurpose,"$140,000","7,200","1,200",213 E Luverne St,,Luverne,56156,Rock,MN
Luverne Convention and Visitors Bureau,Other,"$175,739 ",0,,213 E Luverne St,,Luverne,56156,Rock,MN
In Progress,Media & Communications,"$304,163","6,401",679,213 Front Avenue,,Saint Paul,55117-5376,Ramsey,MN
Luverne Initiative for TomorrowArts Project,Other,"$10,350",646,179,213 Luverne St E,,Luverne,56156,Rock,MN
Black Dirt Theater,Performing Arts,"$13,225",750,50,213 Sibley St Ste 101,,Hastings,55033,Dakota,MN
Hollywood Studio of Dance,Performing Arts,"$124,318 ",0,,2130 West Broadway, ,Minneapolis,55411,Hennepin,MN
"Balkanicus Institute for Balkan Art, Culture and History",Performing Arts,"$19,735",160,10,2133 Pascal St,,Roseville,55113,Ramsey,MN
Whiskey Creek Film Festival,Media & Communications,"$14,000","1,350",300,21339 County Rd 66,,Wadena,56482,Wadena,MN
Anoka County Historical Society,History,"$258,898",0,,2135 Third Avenue N,,Anoka,55303,Anoka,MN
Chamber Music Society of Minnesota,Performing Arts,"$166,324 ",0,,2136 Ford Parkway #273,,Saint Paul,55116-1863,Ramsey,MN
Minnesota Chinese Dance Theater,Performing Arts,"$22,500",600,300,2139 Stanford Ave,,Saint Paul,55105-1222,Ramsey,MN
Hot Summer Jazz Festival,Performing Arts,"$499,257","2,840",852,214 4th St E,,Saint Paul,55101,Ramsey,MN
Koochiching County Historical Society,History,"$126,594",0,,214 6th Ave.,,International Falls,56649,Koochiching,MN
Old School Arts Center,Arts Multipurpose,"$16,278",245,50,214 Eagle Drive,PO Box 535,Sandstone,55072,Pine,MN
Borealis Art Guild,Arts Multipurpose,"$1,496",450,25,214 Howard St E,,Hibbing,55746,St. Louis,MN
Saint Cloud Municipal Band,Performing Arts,"$23,612","31,275","5,125",2141 Tamarack Dr,,Saint Cloud,56301,Stearns,MN
"Madhatters Community Theatre, Inc.",Performing Arts,"$26,417","1,876",240,215 Jefferson St S,,Wadena,56482,Wadena,MN
Houston Area Chamber of CommerceArts Project,Other,"$6,850",450,100,215 W. Plum Street,PO Box 3,Houston,55943,Houston,MN
Morrison County Genealogy Society/Charles A. Weyerhaeuser Memorial Museum ,History,$818,80,,2151 Lindbergh Dr S,PO Box 385,Little Falls,56345,Morrison,MN
Morrison County Historical Society,History,"$172,833","3,051",0,"2151 S Lindbergh Drive, PO Box 239",,Little Falls,56345,Statewide,MN
Freshwater Theatre,Performing Arts,"$9,065",25,1,216 29th St W,,Minneapolis,55408,Hennepin,MN
Tri River Pioneer Museum,History,"$12,000","1,700",450,217 Central Ave E,,Plummer,56748,Red Lake,MN
Wykoff Area Historical Society,History,$0,"1,300",350,217 Gold St N PO Box 82,,Wykoff,55990,Fillmore,MN
Maplewood Area Historical Society,History,"$106,505","8,397","2,500",2170 East County Road D,,Maplewood,55109,Ramsey,MN
AMPERS/Assn. of MN Public Educational Radio Stations,Media & Communications,"$328,471",0,,2175 Cool Stream Circle,,Eagan,55122,Dakota,MN
Benton County Historical Society,History,"$58,623",0,,218 First Street North,P.O. Box 426,Sauk Rapids,56379,Benton,MN
Spicer Beautification Committee,Other,"$7,290","1,000",200,218 Hillcrest Ave ,PO Box 656,Spicer,56288,Kandiyohi,MN
Funny Asian Women Kollective,Performing Arts,"$98,000",600,100,2180 Bush Ave E,,Saint Paul,55119,Ramsey,MN
City of GryglaArts Project,Other,"$25,469",900,300,219 Beltrami St W,,Grygla,56727,Marshall,MN
Berne Summer Concert Series,Performing Arts,"$15,485","16,700","1,700",21959 County Hwy 24,,West Concord,55985,Dodge,MN
City of FosstonArts Project,Other,"$8,700",220,20,220 1st St E,,Fosston,56542-1337,Polk,MN
Central Minnesota Arts Board,Other,"$247,497",0,,220 4th Ave North,PO Box 458,Foley,56329-8442,Benton,MN
Minnesota State UniversityMankato/Centennial Student UnionArts Project,Other,"$4,500",205,5,220 Centennial Student Union,,Mankato,56001,Blue Earth,MN
The Avant Garde,Performing Arts,"$23,585","2,000",0,2200 Bryant Ave S,,Minneapolis,55405,Hennepin,MN
Austin Community Band,Performing Arts,"$9,300","20,000","10,000",2205 10th Ave SW,,Austin,55912,Mower,MN
Northeast Minneapolis Arts Association,Visual Arts & Architecture,"$439,214","43,000","3,000",2205 California St NE,,Minneapolis,55418-3386,Hennepin,MN
Tofte Lake Center Incorporated,Arts Multipurpose,"$45,738",10,0,2209 Fernberg Rd,,Ely,55731,St. Louis,MN
Springfield Community Theatre,Performing Arts,"$15,143","1,249",356,221 Marshall Ave N,,Springfield,56087-0061,Brown,MN
Plymouth Christian Youth Center,Performing Arts,"$17,625",405,0,2210 Oliver Ave N,,Minneapolis,55411,Hennepin,MN
Art Works Eagan,Arts Multipurpose,"$645,414","3,200",200,2215 James Ct,,Eagan,55122,Dakota,MN
Sparkle Theatricals,Performing Arts,"$37,187",775,25,2216 Garfield Ave S,,Minneapolis,55405,Hennepin,MN
Rosy Simas Danse,Performing Arts,"$130,577","6,500","1,500",2217 26th Ave S,,Minneapolis,55406,Hennepin,MN
Clayton Jackson McGhie Memorial Inc.History Project,History,"$6,460",0,,222 E. Superior St.,Suite 322,Duluth,55802-2262,St. Louis,MN
Mankato Childrens Chorus,Performing Arts,"$55,140","29,000","6,000",222 Pfau Street,PO Box 3482,Mankato,56002,Blue Earth,MN
Zeitgeist Center for Arts and Community,Arts Multipurpose,"$813,304","115,000","5,000",222 Superior St E,,Duluth,55802,St. Louis,MN
Renegade Theater Company,Performing Arts,"$18,000","15,477",0,222 Superior St E,,Duluth,55802,St. Louis,MN
Midtown Farmers MarketArts Project,Other,"$14,541","60,000","10,000",2225 Lake St E,,Minneapolis,55407,Hennepin,MN
White Bear Lake Area Historical Society/Charles P. Noyes Cottage (Fillebrown House),History,"$138,280",0,,2228 4th Street,PO Box 10543,White Bear Lake,55110,"Ramsey, Washington",MN
Global Site Performance,Performing Arts,"$22,000","2,300",300,2230 Marshall St NE,,Minneapolis,55418-3323,Hennepin,MN
Minnesota Coalition for the HomelessHistory Project,History,"$20,000",0,,2233 University Ave. W.,#434,Saint Paul,55114,Ramsey,MN
courageous heARTS,Arts Multipurpose,"$49,542",13,5,2235 38th St E,,Minneapolis,55407,Hennepin,MN
ArtReach St. Croix,Arts Multipurpose,"$208,529",4,0,224 4th St N,,Stillwater,55082,Washington,MN
Warren Alvarado Oslo School DistrictArts Project,Other,"$17,695",800,300,224 Bridge Ave E,,Warren,56762,Marshall,MN
Freeborn County Arts Initiative,Arts Multipurpose,"$9,200","1,060",60,224 Broadway Ave S,,Albert Lea,56007,Freeborn,MN
Childrens Museum of Southern Minnesota,Other,"$1,359,793","95,094","55,414",224 Lamm Street,,Mankato,56001-2305,Blue Earth,MN
Skylark Opera,Performing Arts,"$161,673",930,30,224 Landmark Ctr,,Saint Paul,55102-1431,Ramsey,MN
Stillwater Public LibraryHistory Project,History,"$11,810",0,,224 Third Street N,,Stillwater,55082,Washington,MN
Lac Qui Parle Players,Performing Arts,"$15,205","1,107",310,2240 160th St,,Madison,56256-3007,Lac Qui Parle,MN
Minnetonka Center for the Arts,Visual Arts & Architecture,"$1,395,767","9,000","2,000",2240 North Shore Dr,,Wayzata,55391-9127,Hennepin,MN
Red Lake Band of Chippewa Indians,Other,"$15,031",267,152,22400 Council St,,Red Lake,56761,Beltrami,MN
Womens Drum Center,Performing Arts,"$52,000","1,120",900,2242 University Ave W,,Saint Paul,55114-1884,Ramsey,MN
Saint Anthony Park Branch Library AssociationArts Project,Other,"$14,251","5,000","1,500",2245 Como Ave,,Saint Paul,55108,Ramsey,MN
Norman County West School DistrictArts Project,Other,"$3,310",195,75,225 2nd St E,,Halstad,56548,Norman,MN
Aitkin Community EducationArts Project,Other,"$3,595",250,150,225 2nd St SW,,Aitkin,56431,Aitkin,MN
Pine City Arts Council,Arts Multipurpose,"$23,512","2,000",500,225 9th St SW,,Pine City,55063,Pine,MN
"Motionpoems, Inc.",Media & Communications,"$161,000",300,0,225 Portland Ave S,,Minneapolis,55401,Hennepin,MN
Grand Rapids Area Male Chorus,Performing Arts,"$19,500","3,250",450,22520 Henderson Rd,,Cohasset,55721,Itasca,MN
Wanda Gag House AssociationHistory Project,History,"$13,590","1,500",300,226 N Washington PO Box 432 ,,New Ulm,56073,Brown,MN
Albert Lea Art Center,Visual Arts & Architecture,"$13,300","3,700",900,226 W Clark St,PO Box 313,Albert Lea,56007,Freeborn,MN
Middle River Community Theater,Performing Arts,"$18,757",296,41,227 River St,,Middle River,56737,Marshall,MN
Winona Arts Center,Visual Arts & Architecture,"$4,000",220,50,228 5th St E,,Winona,55987,Winona,MN
Friends of Peterson,Arts Multipurpose,"$8,980",555,55,228 Mill St,PO Box 233,Peterson,55962,Fillmore,MN
Trademark Theater,Performing Arts,"$107,261",825,75,2285 University Ave W,,Saint Paul,55114,Ramsey,MN
Nordic Center,Arts Multipurpose,"$36,285",67,15,23 Lake Ave N,,Duluth,55802,St. Louis,MN
History Arts and Cultural Association of East Otter Tail County/History Museum of East Otter Tail County/Friends,Arts Multipurpose,"$144,019","7,500","2,500",230 1st Ave N,,Perham,56573-1844,Otter Tail,MN
Minnesota State UniversityMankato/Good Thunder Reading Series,Literary & Arts,"$77,850","2,860",60,230 Armstrong Hall,,Mankato,56001,Blue Earth,MN
Dakota Wicohan,Humanities,"$533,065",50,20,230 West 2nd Street,PO Box 2,Morton,56270,"Statewide, Redwood, Renville, Yellow Medicine, Dakota, Ramsey",MN
Minneapolis Thanksgiving Celeb Pow Wow Committee,Performing Arts,"$19,400","1,500",500,2300 15th Ave S,,Minneapolis,55404,Hennepin,MN
North Suburban Chorus,Performing Arts,"$15,158",900,0,2300 19th Av NE,,Minneapolis,55418,Hennepin,MN
Community Involvement ProgramsArts Project,Other,"$15,234",30,0,2300 Kennedy St NE,,Minneapolis,55413,Hennepin,MN
Forecast Public Artworks,Arts Multipurpose,"$874,289","2,050",150,2300 Myrtle Ave,,Saint Paul,55114-1854,Ramsey,MN
Valley Friendship ClubArts Project,Other,"$13,850",300,100,2300 Orleans St W,,Stillwater,55082,Washington,MN
Playwrights Center,Performing Arts,"$1,302,978","2,500",0,2301 Franklin Ave E,,Minneapolis,55406-1024,Hennepin,MN
Workhaus Playwrights Collective,Performing Arts,"$28,550",400,0,2301 Franklin Ave E,,Minneapolis,55406,Hennepin,MN
Nimbus Theatre,Performing Arts,"$108,497","2,550",50,2303 Kennedy St NE,,Minneapolis,55413,Hennepin,MN
Hennepin History Museum,History,"$401,773","4,150",0,2303 Third Avenue South,,Minneapolis,55404,"Hennepin, Ramsey",MN
Mad King Thomas,Performing Arts,"$17,625",300,0,2308 36 1/2 St E,,Minneapolis,55406,Hennepin,MN
zAmya Theater Project/Saint Stephens Human Services ,Performing Arts,"$102,989","1,495",45,2309 Nicollet Ave S,,Minneapolis,55404,Hennepin,MN
Norda Gonvick Rosemalers,Visual Arts & Architecture,"$1,898",30,0,23090 Soo Line Rd,,Leonard,56652,Clearwater,MN
DanceBARN Collective,Performing Arts,"$2,230",350,150,23129 Oak Leaf Ln,,Battle Lake,56515,Otter Tail,MN
Take Up Productions,Media & Communications,"$172,885","30,000","3,000",2313 35th St E,,Minneapolis,55406,Hennepin,MN
Swandive Theatre,Performing Arts,"$10,400",25,0,2313 35th St E,,Minneapolis,55406,Hennepin,MN
Win E Mac Public SchoolsArts Project,Other,"$9,000",265,90,23130 345th St SE,,Erskine,56535,Polk,MN
Creative Enterprise ZoneArts Project,Other,"$60,000","1,600",100,2314 University Ave W,,Saint Paul,55114,Ramsey,MN
"Art To Change The World, Inc.",Arts Multipurpose,"$26,672",400,100,2323 Monroe St NE,,Minneapolis,55418,Hennepin,MN
Forum of Regional Arts Councils of Minnesota,Other,"$50,119",36,,2324 University Ave. W.,Suite 114,Saint Paul,55114-1854,Ramsey,MN
Metropolitan Regional Arts Council,Other,"$773,343",935,,2324 University Ave. W.,Suite 114,Saint Paul,55114-1854,Ramsey,MN
TEDxGullLakeArts Project,Other,"$2,225",345,15,2331 Dancing Wind Rd SW,,Pine River,56474,Cass,MN
Stearns County Historical Society/Stearns History Museum,History,"$1,009,661","17,799","1,491",235 33rd Avenue South,,Saint Cloud,56301,Stearns,MN
Scott County Historical Society,History,"$215,662",0,,235 Fuller Street South,,Shakopee,55379,Scott,MN
Faribault County Agricultural Society/County Fair,Other,$800,300,0,235 Midway Rd,,Blue Earth,56013,Faribault,MN
Karen Organization of MinnesotaArts Project,Other,"$42,045",31,30,2353 Rice St,,Roseville,55113,Ramsey,MN
Great River Strings Ensemble,Performing Arts,"$4,090",480,80,23569 435th Ave,,Aitkin,56431,Aitkin,MN
"Paradise Community Theatre Association, Inc.",Media & Communications,"$154,000","16,349","6,533",237 Union St S,PO Box 238,Mora,55051,Kanabec,MN
Spitting Image Collective,Performing Arts,"$11,400",145,5,2380 17th Ave NW,,New Brighton,55112,Ramsey,MN
Autism Society of MinnesotaArts Project,Other,"$56,928",13,12,2380 Wycliff St,,Saint Paul,55114,Ramsey,MN
Rock Star Supply Co.,Literary & Arts,"$201,220",71,70,2388 University Ave W,,Saint Paul,55114,Ramsey,MN
Cathedral Heritage Foundation,History,"$322,522",0,,239 Selby Avenue,,Saint Paul,55105-1891,Ramsey,MN
Red Lake Middle SchoolArts Project,Other,"$52,773",242,242,23990 Hwy 1 E,PO Box 499,Red Lake,56671,Beltrami,MN
"Crow River Players, Inc.",Performing Arts,"$44,987","6,035","2,435",24 Central Avenue E,PO Box 536,Fridley,56273,Kandiyohi,MN
New York Mills Arts Retreat,Arts Multipurpose,"$162,713",310,150,24 Main Ave N,,New York Mills,56567,Otter Tail,MN
Childrens Theatre Company and School,Performing Arts,"$13,777,768","253,008","128,004",2400 3rd Ave S,,Minneapolis,55404,Hennepin,MN
Midwest Art Conservation Center,Visual Arts & Architecture,"$1,195,931",0,0,2400 3rd Ave S,,Minneapolis,55404,Hennepin,MN
Minneapolis Institute of Arts/Society of Fine Arts,Visual Arts & Architecture,"$31,838,240","760,000","200,000",2400 3rd Ave S,,Minneapolis,55404,Hennepin,MN
